text,country,country_pair,entity,date,predicted_label,confidence,probability_negative,probability_neutral,probability_positive,prob_sum_ok,risk_score,risk_band,model_certainty
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-14,negative,0.4621,0.8269,0.0,0.1731,True,82.69,High,Low
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-03-27,neutral,0.5915,0.3027,0.3761,0.3212,True,49.08,Guarded,Medium
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-30,negative,0.5075,0.5753,0.0,0.4247,True,57.53,Elevated,Low
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-22,negative,0.572,0.4866,0.4923,0.0211,True,73.28,Elevated,Medium
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-04,negative,0.723,0.6692,0.2135,0.1173,True,77.6,High,Medium
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-03-18,negative,0.8468,0.5294,0.072,0.3986,True,56.54,Elevated,High
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-03-22,negative,0.8458,0.3834,0.3044,0.3122,True,53.56,Elevated,High
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-03-06,negative,0.7677,0.7839,0.0,0.2161,True,78.39,High,Medium
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-03-20,negative,0.5717,0.6826,0.0728,0.2446,True,71.9,Elevated,Medium
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-01-03,negative,0.8762,0.7223,0.0,0.2777,True,72.23,Elevated,High
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-03-06,negative,0.6018,0.4809,0.3662,0.1529,True,66.4,Elevated,Medium
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-01-15,negative,0.9621,0.4571,0.4404,0.1025,True,67.73,Elevated,High
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-02-23,negative,0.8723,0.7891,0.2017,0.0092,True,89.0,High,High
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-01-11,positive,0.6757,0.4259,0.1397,0.4343,True,49.58,Guarded,Medium
Sample post about RU-UA relations.,RU,RU-UA,RU_UA_entity,2025-02-28,negative,0.4853,0.1018,0.8408,0.0574,True,52.22,Elevated,Low
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-02-21,negative,0.6009,0.2949,0.6844,0.0207,True,63.71,Elevated,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-01-14,negative,0.6586,0.4245,0.5301,0.0454,True,68.96,Elevated,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-03-27,negative,0.7528,0.6633,0.3155,0.0212,True,82.1,High,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-02-07,negative,0.5025,0.4418,0.3702,0.1879,True,62.69,Elevated,Low
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-03-16,negative,0.5213,0.7666,0.0,0.2334,True,76.66,High,Low
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-02-18,negative,0.7033,0.8727,0.0,0.1273,True,87.27,High,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-03-13,negative,0.6073,0.781,0.0,0.219,True,78.1,High,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-03-27,negative,0.7323,0.5027,0.1114,0.3859,True,55.84,Elevated,Medium
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-02-25,negative,0.5004,0.4571,0.4763,0.0667,True,69.53,Elevated,Low
Sample post about IL-IR relations.,IL,IL-IR,IL_IR_entity,2025-03-07,negative,0.8714,0.719,0.2085,0.0726,True,82.32,High,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-02-12,negative,0.7534,0.5126,0.0,0.4874,True,51.26,Elevated,Medium
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-02-11,negative,0.5121,0.5857,0.0414,0.3729,True,60.64,Elevated,Low
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-02-27,negative,0.8541,0.6608,0.0683,0.2709,True,69.5,Elevated,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-01-25,positive,0.8367,0.4517,0.0,0.5483,True,45.17,Guarded,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-02-08,negative,0.9541,0.456,0.4558,0.0882,True,68.39,Elevated,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-01-11,negative,0.8875,0.708,0.0,0.292,True,70.8,Elevated,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-01-04,negative,0.9784,0.5679,0.3573,0.0748,True,74.65,Elevated,High
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-03-21,negative,0.5776,0.6746,0.3203,0.0051,True,83.48,High,Medium
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-03-15,negative,0.4774,0.4456,0.148,0.4065,True,51.96,Elevated,Low
Sample post about IN-CN relations.,IN,IN-CN,IN_CN_entity,2025-02-24,negative,0.82,0.733,0.0,0.267,True,73.3,Elevated,High
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-02-10,negative,0.9011,0.8646,0.072,0.0634,True,90.06,High,High
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-01-14,positive,0.7766,0.421,0.1546,0.4244,True,49.83,Guarded,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-02-18,negative,0.693,0.9323,0.0,0.0677,True,93.23,High,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-03-12,negative,0.7941,0.5209,0.2673,0.2117,True,65.46,Elevated,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-01-09,negative,0.5974,0.7664,0.2063,0.0273,True,86.96,High,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-01-28,negative,0.618,0.4804,0.0795,0.4401,True,52.02,Elevated,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-02-22,negative,0.7934,0.2608,0.6445,0.0947,True,58.3,Elevated,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-02-28,negative,0.8405,0.5247,0.4234,0.0519,True,73.64,Elevated,High
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-01-04,negative,0.7119,0.5727,0.0,0.4273,True,57.27,Elevated,Medium
Sample post about KP-US relations.,KP,KP-US,KP_US_entity,2025-01-11,negative,0.8436,0.6413,0.1316,0.2271,True,70.71,Elevated,High
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-02-15,negative,0.6434,0.8482,0.0078,0.1441,True,85.21,High,Medium
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-03-28,negative,0.4557,0.7697,0.0,0.2303,True,76.97,High,Low
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-03-14,negative,0.8947,0.6086,0.3593,0.0321,True,78.82,High,High
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-03-31,negative,0.5299,0.6714,0.1404,0.1882,True,74.16,Elevated,Low
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-01-02,negative,0.7114,0.3772,0.3644,0.2584,True,55.94,Elevated,Medium
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-01-08,positive,0.6443,0.2725,0.3042,0.4233,True,42.46,Guarded,Medium
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-01-28,negative,0.9321,0.6434,0.2136,0.1431,True,75.02,High,High
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-02-22,negative,0.6296,0.6081,0.0,0.3919,True,60.81,Elevated,Medium
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-01-16,negative,0.5974,0.8093,0.0307,0.16,True,82.46,High,Medium
Sample post about KP-KR relations.,KP,KP-KR,KP_KR_entity,2025-03-05,negative,0.9605,0.4243,0.4375,0.1382,True,64.31,Elevated,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-01-10,negative,0.964,0.4444,0.3205,0.2351,True,60.46,Elevated,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-03-30,negative,0.6964,0.6071,0.0,0.3929,True,60.71,Elevated,Medium
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-01-22,positive,0.886,0.4025,0.1185,0.479,True,46.18,Guarded,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-01-04,negative,0.8419,0.5342,0.3487,0.1171,True,70.86,Elevated,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-02-17,negative,0.809,0.7761,0.0,0.2239,True,77.61,High,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-01-03,negative,0.6084,0.3143,0.5315,0.1542,True,58.0,Elevated,Medium
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-02-08,negative,0.8303,0.3081,0.5134,0.1785,True,56.48,Elevated,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-03-14,negative,0.9351,0.6028,0.0,0.3972,True,60.28,Elevated,High
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-03-21,negative,0.7863,0.588,0.3671,0.0449,True,77.16,High,Medium
Sample post about IL-SA relations.,IL,IL-SA,IL_SA_entity,2025-01-31,negative,0.6224,0.5692,0.1822,0.2486,True,66.03,Elevated,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-01-01,negative,0.9134,0.6336,0.3348,0.0316,True,80.1,High,High
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-01-26,negative,0.8818,0.7004,0.1343,0.1653,True,76.76,High,High
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-03-26,negative,0.7217,0.6324,0.3273,0.0402,True,79.6,High,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-02-08,negative,0.7235,0.6705,0.0,0.3295,True,67.05,Elevated,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-02-14,negative,0.6101,0.8821,0.0631,0.0547,True,91.36,High,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-02-05,negative,0.6265,0.5849,0.4146,0.0005,True,79.22,High,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-01-31,negative,0.8121,0.8436,0.0,0.1564,True,84.36,High,High
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-01-21,negative,0.5232,0.8435,0.0019,0.1546,True,84.44,High,Low
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-01-21,negative,0.7517,0.5217,0.3079,0.1704,True,67.57,Elevated,Medium
Sample post about RU-GB relations.,RU,RU-GB,RU_GB_entity,2025-02-23,negative,0.5848,0.1668,0.8104,0.0228,True,57.2,Elevated,Medium
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-16,negative,0.5647,0.3797,0.514,0.1063,True,63.67,Elevated,Medium
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-07,negative,0.8253,0.6545,0.3387,0.0067,True,82.38,High,High
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-03-13,negative,0.5417,0.7659,0.2232,0.0109,True,87.75,High,Low
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-15,negative,0.9166,0.4025,0.5485,0.0489,True,67.68,Elevated,High
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-01-18,negative,0.8932,0.6136,0.1539,0.2325,True,69.06,Elevated,High
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-01-02,negative,0.8091,0.5157,0.0,0.4843,True,51.57,Elevated,High
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-02,negative,0.8719,0.7353,0.0,0.2647,True,73.53,Elevated,High
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-16,negative,0.5446,0.4781,0.3873,0.1346,True,67.18,Elevated,Low
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-07,positive,0.6509,0.4965,0.0,0.5035,True,49.65,Guarded,Medium
Sample post about CN-TW relations.,CN,CN-TW,CN_TW_entity,2025-02-16,negative,0.873,0.6989,0.2533,0.0477,True,82.56,High,High
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-02-26,neutral,0.9204,0.2887,0.3632,0.348,True,47.03,Guarded,High
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-02-05,negative,0.5543,0.5224,0.3049,0.1727,True,67.48,Elevated,Medium
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-02-22,negative,0.8494,0.6173,0.3314,0.0513,True,78.3,High,High
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-21,negative,0.7052,0.7048,0.0,0.2952,True,70.48,Elevated,Medium
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-11,negative,0.9147,0.81,0.0,0.19,True,81.0,High,High
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-23,negative,0.5014,0.8891,0.085,0.0259,True,93.16,High,Low
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-02-17,negative,0.7596,0.4144,0.3862,0.1994,True,60.75,Elevated,Medium
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-08,negative,0.5139,0.6135,0.1097,0.2768,True,66.83,Elevated,Low
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-21,negative,0.58,0.5683,0.4003,0.0314,True,76.85,High,Medium
Sample post about TR-GR relations.,TR,TR-GR,TR_GR_entity,2025-03-05,negative,0.9482,0.6866,0.0,0.3134,True,68.66,Elevated,High
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-02-02,negative,0.5198,0.6623,0.27,0.0677,True,79.73,High,Low
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-01-12,negative,0.4659,0.4181,0.3402,0.2417,True,58.82,Elevated,Low
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-03-17,negative,0.5492,0.5842,0.2431,0.1727,True,70.58,Elevated,Low
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-03-30,negative,0.6315,0.7272,0.0,0.2728,True,72.72,Elevated,Medium
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-03-09,negative,0.7887,0.5398,0.3043,0.156,True,69.19,Elevated,Medium
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-01-01,negative,0.6583,0.5321,0.4276,0.0403,True,74.59,Elevated,Medium
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-02-17,negative,0.9535,0.7797,0.0,0.2203,True,77.97,High,High
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-01-31,negative,0.9757,0.5819,0.2752,0.1429,True,71.95,Elevated,High
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-01-14,negative,0.7478,0.4183,0.486,0.0956,True,66.13,Elevated,Medium
Sample post about IN-US relations.,IN,IN-US,IN_US_entity,2025-03-06,negative,0.5167,0.4912,0.4366,0.0722,True,70.95,Elevated,Low
