event_id,company_ticker,company_name,sector_gics,impact_channel,quarter,mention_text,mention_sentiment,management_action_described,revenue_delta_pct,cogs_delta_pct,operating_income_delta_pct,capex_delta_pct,car_1_5,car_1_30,source,confidence,labeled_by,human_reviewed,notes
russia_invasion_2022,IKEA,Ingka Group (IKEA),25504010,revenue_market_access,2022Q1,IKEA suspended Russian operations Mar 3 2022 affecting 17 retail stores 3 manufacturing plants ~15000 employees. Russia and Ukraine together represented ~8-9% of total retail revenue. Write-down approximately EUR 1.5B.,-0.7,Immediate suspension of all Russian operations; wound down through 2023. Rapidly diversified timber sourcing from Russia (20% of Europe birch/softwood) to Baltic Scandinavian and South American suppliers.,-8.0,,,,,,press_release,high,claude_verified,1,Fastest major corporate exit — 7 days after invasion. Also a procurement_supply_chain impact via timber sourcing. EUR 1.5B write-down (some estimates EUR 1.7B). Verify against Ingka Group 2022 annual summary.
russia_invasion_2022,ULVR.L,Unilever plc,30302010,reputation_stakeholder,2022Q2,Unilever initially continued Russian operations citing obligations to ~3000 employees. Named on Ukraine government sponsors of war list. Faced boycott pressure from B4Ukraine coalition and institutional investors. ESG rating agencies flagged the decision negatively.,-0.5,Continued supplying everyday essential food and hygiene products but suspended imports/exports media spend and capital investment. Eventually sold Russian ice cream business Jul 2023.,,,,,-0.019,,press_release,medium,claude_verified,1,REPUTATIONAL impact case — contrast with IKEA/Shell fast exits. Russia was ~1-2% of group revenue. CEO Alan Jope faced significant backlash. Yale CELI tracker listed Unilever unfavorably. Successor Hein Schumacher accelerated wind-down. Verify against Unilever 2022 annual report.
us_chip_export_controls_2022_2024,ASML,ASML Holding NV,45301020,revenue_market_access,2024Q1,China represented ~29% of ASML net sales in 2023 (~EUR 6.7B of EUR 23.3B). CEO Peter Wennink stated China revenue would drop to roughly 10-15% of sales in 2025. Netherlands formalized export controls on advanced DUV and all EUV systems effective Jan 1 2024.,-0.5,Complied with Dutch and US export restrictions. ASML had been informally blocked from shipping EUV to China since 2019. Q3 2024 China still ~47% of quarterly revenue due to rush orders before restrictions tightened.,-15.0,,,,-0.127,,earnings_call,high,claude_verified,1,China 29% of sales is massive exposure. Wennink guided 10-15% for 2025 = ~EUR 4B revenue loss. Rush orders inflated 2024 China share temporarily. Verify against ASML Q4 2023 transcript (Jan 24 2024).
us_chip_export_controls_2022_2024,TSM,TSMC,45301020,revenue_market_access,2023Q4,China including Hong Kong represented ~11-12% of TSMC revenue in 2023. CEO C.C. Wei stated TSMC was fully committed to complying with all applicable rules and regulations. TSMC suspended shipments to certain Chinese clients after Huawei Mate 60 Pro incident Aug 2023.,-0.3,Halted advanced node (sub-7nm) production for restricted Chinese customers. Lost China demand offset by strong AI-driven demand from NVIDIA Apple AMD.,,,,,-0.084,,earnings_call,medium,claude_verified,1,China 11-12% of revenue — lower exposure than ASML. No specific dollar downside figure disclosed. Compliance-focused messaging. Verify against TSMC Q4 2023 transcript (Jan 18 2024).
us_chip_export_controls_oct2023,AMD,AMD Inc,45301020,revenue_market_access,2023Q3,CEO Lisa Su stated export controls could reduce data center GPU revenue by several hundred million dollars annually. China including Hong Kong represented ~15% of AMD revenue. AMD had been developing China-specific MI250 variant but Oct 2023 rule updates closed the loophole.,-0.5,Pivoted MI300X sales to non-restricted markets. Su stated demand from non-China markets was significantly oversubscribed partially offsetting China loss.,-5.0,,,,-0.033,,earnings_call,medium,claude_verified,1,Several hundred million annually is less precise than NVIDIA $400M but still quantified. 15% China revenue from 2023 10-K. Verify against AMD Q3 2023 transcript (Oct 31 2023).
eu_energy_crisis_2022,BAS.DE,BASF SE,15101010,procurement_supply_chain,2022Q3,BASF reported high energy costs reduced EBIT by approximately EUR 2.2 billion in 2022 vs 2021. Scaled back ammonia production at Ludwigshafen due to gas prices. Gas costs at Ludwigshafen roughly tripled year-over-year.,-0.7,Announced permanent downsizing at Ludwigshafen cutting 2600 jobs. Feb 2023 announced EUR 500M annual cost-cutting program. CEO Martin Brudermuller cited European energy costs making the site structurally uncompetitive.,,-30.0,-20.0,,0.029,,earnings_call,high,claude_verified,1,EUR 2.2B EBIT impact is massive and well-documented. Ludwigshafen is world's largest integrated chemical site — energy is primary input cost = procurement_supply_chain. Verify against BASF FY2022 report (Feb 24 2023).
eu_energy_crisis_2022,TKA.DE,ThyssenKrupp AG,15104050,procurement_supply_chain,2022Q4FY,Steel Europe segment energy costs rose approximately EUR 1 billion year-over-year. Steel production volumes fell roughly 10-15% in H2 2022. Q4 FY2022 Steel Europe adjusted EBIT dropped to ~EUR 200M from EUR 700M+ in earlier quarters.,-0.6,Reduced steel output rather than fully idling blast furnaces. Delayed planned Duisburg DRI/hydrogen-based steel transition due to energy cost uncertainty.,,-25.0,-70.0,,0.102,,earnings_call,high,claude_verified,1,EUR 1B energy cost increase on Steel Europe segment. FY ends Sep 30. Verify against ThyssenKrupp FY2022 results (Nov 17 2022).
eu_energy_crisis_2022,YAR.OL,Yara International ASA,15101050,procurement_supply_chain,2022Q3,Yara curtailed approximately 3.2 million tonnes of European ammonia production capacity (~35% of European capacity) in Aug 2022. CEO Svein Tore Holsether called the crisis an existential threat to European fertilizer manufacturing.,-0.7,Curtailed 35% of European ammonia capacity. European delivered cost of ammonia production roughly doubled. Partial restarts as gas prices eased in Q4 2022 but utilization remained ~65-70% through early 2023.,,-40.0,,,-0.043,,earnings_call,high,claude_verified,1,35% European capacity curtailment is extreme. Q3 2022 EBITDA USD 1.27B still strong due to high fertilizer prices offsetting volume loss. Verify against Yara Q3 2022 report (Oct 21 2022).
us_tariffs_2025,AAPL,Apple Inc,45203010,procurement_supply_chain,2025Q2FY,April 2025 tariffs included rates up to 54% on Chinese imports. Apple stock dropped ~15-20% in days following announcement. Analysts estimated tariffs could add $50-80+ per iPhone if fully applied to China-assembled units. CEO Tim Cook acknowledged tariff headwinds.,-0.7,Accelerated India manufacturing shift (Foxconn/Tata facilities). China still vast majority of production as of April 2025.,,15.0,,,-0.112,,earnings_call,medium,claude_verified,1,Apple most exposed mega-cap to China tariffs. Q2 FY2025 (May 1 2025) was first call addressing Liberation Day impact. No exact per-unit cost disclosed publicly. Verify against AAPL Q2 FY2025 transcript.
us_tariffs_2025,TSLA,Tesla Inc,25102010,revenue_market_access,2025Q1,Tesla Q1 2025 deliveries fell ~13% YoY. CFO Vaibhav Taneja noted supply chain cost pressures from tariffs on components. China imposed retaliatory tariffs up to 125% on US goods affecting Tesla competitiveness.,-0.6,Shanghai Gigafactory primarily serves China domestic and Asian/European export markets — limited direct US import exposure. Brand damage from Elon Musk political activities compounded trade friction.,-13.0,,,,-0.037,,earnings_call,medium,claude_verified,1,Complex case: delivery decline attributed to mix of tariffs + brand damage + BYD competition. Hard to isolate tariff-only impact = medium confidence. Verify against Tesla Q1 2025 transcript (Apr 22 2025).
us_tariffs_2025,WMT,Walmart Inc,30101010,procurement_supply_chain,2025Q1FY26,CEO Doug McMillon and CFO John David Rainey warned tariffs at announced levels could not be fully absorbed and would result in consumer price increases. Walmart sources significant general merchandise from China and other affected countries.,-0.4,Working with suppliers to mitigate costs and diversify sourcing. Walmart value positioning means consumers trade down to Walmart during inflationary periods — partially offsetting margin pressure.,,5.0,,,-0.002,,earnings_call,medium,claude_verified,1,No specific dollar figure for total tariff cost — described as material to margins. ~60-70% goods sourced domestically but general merchandise heavily China-dependent. Verify against Walmart Q1 FY2026 transcript (May 15 2025).
us_chip_export_controls_oct2022,AMAT,Applied Materials Inc,45301020,revenue_market_access,2023Q1FY,CEO Gary Dickerson stated new export controls would reduce calendar 2023 revenue by approximately $2.5B. China was ~27-33% of revenue pre-controls. Q1 FY2023 guided down to ~$6.7B from prior $6.87B.,-0.6,Complied with BIS restrictions; curtailed shipments to affected Chinese fabs; continued trailing-edge tool sales,-10.0,,,,-0.094,,earnings_call,high,claude_verified,1,$2.5B annualized CY2023 impact estimate from Q4 FY2022 call (Nov 17 2022). China dropped to ~23% by FY2023 Q2. Verify against AMAT Q4 FY2022 transcript.
us_chip_export_controls_oct2022,LRCX,Lam Research Corp,45301020,revenue_market_access,2023Q1FY,CEO Tim Archer estimated export controls would reduce CY2023 revenue by $2.0-2.5 billion. China was ~30% of revenue pre-controls. Lam had already begun suspending shipments to affected Chinese customers.,-0.6,Suspended shipments and support to restricted Chinese customers; continued non-restricted trailing-edge tool sales,-15.0,,,,-0.16,,earnings_call,high,claude_verified,1,$2.0-2.5B estimate from Q1 FY2023 call (Oct 19 2022 — days after BIS rule). China partially recovered to ~26% by Jun 2023 for non-restricted tools. Verify against LRCX Q1 FY2023 transcript.
us_chip_export_controls_oct2022,KLAC,KLA Corporation,45301020,revenue_market_access,2023Q1FY,CEO Rick Wallace estimated export controls would reduce FY2023 revenue by $600M-$900M (~6-9% of annual revenue). China was ~29-33% of revenue pre-controls.,-0.5,Ceased advanced node equipment shipments; continued process control tools for trailing-edge. China stabilized at 22-25% by mid-2023.,-7.0,,,,-0.161,,earnings_call,high,claude_verified,1,$600M-$900M from Q1 FY2023 call (Oct 26 2022). Smallest absolute impact of the 3 equipment makers but still significant. Verify against KLAC Q1 FY2023 transcript.
us_chip_export_controls_2022_2024,INTC,Intel Corp,45301020,revenue_market_access,2023Q3,CEO Pat Gelsinger stated updated Oct 2023 controls would have a different but meaningful revenue impact. CFO Dave Zinsner noted China data center revenue had already declined. Estimated low to mid hundreds of millions annually.,-0.4,Complied with all BIS licensing requirements; lost Huawei as a server chip customer in 2020,-3.0,,,,0.007,,earnings_call,medium,claude_verified,1,China ~27% of Intel revenue ($14.8B of $54.2B in FY2023). Less precise than NVIDIA/AMAT estimates. Verify against Intel Q3 2023 transcript (Oct 26 2023).
us_china_huawei_ban_2020,QCOM,Qualcomm Inc,45301020,revenue_market_access,2022Q1FY,Huawei was a major customer generating ~$1.8B in a single quarter (Q4 FY2020) after catch-up settlement. Post-ban Huawei revenue dropped to near-zero by FY2022. CFO Akash Palkhiwala noted Huawei was immaterial going forward.,-0.3,Diversified China customer base to Xiaomi Oppo Vivo who absorbed Huawei share. CEO Cristiano Amon stated other OEMs more than offset the Huawei loss.,,,,,0.033,,earnings_call,high,claude_verified,1,Unique recovery story: $1.5-2B annualized Huawei loss largely recovered through other Chinese OEMs. China still ~30% of revenue. Shows geopolitical impact can be offset. Verify against QCOM Q1 FY2022 transcript (Feb 2022).
china_cac_micron_ban_2023,MU,Micron Technology Inc,45301020,revenue_market_access,2023Q3FY,China CAC banned Micron from critical infrastructure purchases May 21 2023. CEO Sanjay Mehrotra stated impact would be low double-digit percentage of total revenue near term. CFO Mark Murphy quantified at-risk amount at roughly $600M-$900M annualized.,-0.5,Redirected wafer supply to other markets. By Q1 FY2024 Mehrotra confirmed impact at lower end of expectations as global memory demand recovered on AI/HBM boom.,-8.0,,,,0.084,,earnings_call,high,claude_verified,1,Clean single-event shock. China dropped from ~25% to ~16-17% of revenue. $600-900M at-risk but actual impact at lower end. Verify against Micron Q3 FY2023 transcript (Jun 28 2023).
eu_energy_crisis_2022,1COV.DE,Covestro AG,15101010,procurement_supply_chain,2022Q3,Energy and raw material cost increases amounted to ~EUR 2.8B additional costs in FY2022 vs 2021. EBITDA fell from EUR 3.1B to EUR 1.6B (-48%). CEO Markus Steilemann described an unprecedented cost environment.,-0.7,Reduced MDI production at Brunsbuttel and TDI output at Dormagen. Utilization fell below 70% in Performance Materials segment.,,-30.0,-48.0,,,,earnings_call,high,claude_verified,1,EUR 2.8B additional energy/raw material costs is massive. EBITDA halved. Verify against Covestro FY2022 annual report.
eu_energy_crisis_2022,WCH.DE,Wacker Chemie AG,15101010,procurement_supply_chain,2022Q3,CEO Christian Hartel: We have had to curtail production at sites where energy costs exceed the margin contribution. Energy costs rose EUR 600M YoY. Silicon metal output at Nunchritz cut ~50% (~25kt reduction).,-0.6,Curtailed 50% silicon metal output at Nunchritz. Permanently closed one electric-arc furnace in early 2023 (~15kt/yr capacity).,,-25.0,,,0.078,,earnings_call,high,claude_verified,1,Paradoxically overall EBITDA was EUR 1.78B (up YoY) due to strong polysilicon/solar pricing. But silicones segment compressed Q2→Q4. Verify against Wacker Q3 2022 call.
eu_energy_crisis_2022,MT,ArcelorMittal SA,15104050,procurement_supply_chain,2022Q4,Idled 4-5 blast furnaces across Europe (Bremen Germany; Asturias Spain; partial Dunkirk France). European crude steel production cut ~3M tonnes annualized. Energy costs rose ~USD 2B YoY. CEO Aditya Mittal: We continue to flex our production to match market conditions.,-0.6,Idled blast furnaces rather than operating at a loss; flexed production to match demand. Delayed some decarbonization investments.,,-20.0,-40.0,,0.05,,earnings_call,high,claude_verified,1,Europe EBITDA fell from $8.1B (2021) to $4.9B (2022). H2 2022 only $1.1B vs $3.8B in H1. European shipments Q4 2022 down 17% YoY. Verify against ArcelorMittal Q3 2022 call and 20-F.
us_tariffs_2025,GM,General Motors Co,25102010,procurement_supply_chain,2025Q1,GM withdrew full-year 2025 guidance citing tariff uncertainty. CFO Paul Jacobson stated 25% tariff on imported vehicles and parts could cost approximately $4-5B annually. GM imports ~850K vehicles/year from Mexico Canada South Korea.,-0.8,CEO Mary Barra: We are taking decisive actions to mitigate tariff impacts including accelerating US sourcing but the magnitude creates near-term cost pressure. Withdrew guidance.,,15.0,,,-0.047,,earnings_call,high,claude_verified,1,$4-5B annual exposure is enormous — GM withdrew guidance entirely which is very rare. Verify against GM Q1 2025 transcript (Apr 29 2025).
us_tariffs_2025,F,Ford Motor Co,25102010,procurement_supply_chain,2025Q1,CFO John Lawler: We estimate a roughly $1.5 billion hit to our 2025 adjusted EBIT from tariffs. ~$500M from steel/aluminum (Section 232) plus ~$1B from vehicle/parts tariffs. 30-40% of North American vehicle content crosses international border.,-0.7,Working on mitigation; announced selective price increases of $600-$2000 on certain models to partially pass through costs.,,10.0,-20.0,,-0.064,,earnings_call,high,claude_verified,1,$1.5B is company-disclosed and specific. Ford imports heavily from Mexico (Maverick Bronco Sport) and Canada. Verify against Ford Q1 2025 transcript (May 5 2025).
us_tariffs_2025,NKE,Nike Inc,25203010,procurement_supply_chain,2025Q1,~50% of Nike footwear and ~28% of apparel manufactured in Vietnam. Reciprocal tariffs set 46% on Vietnam and 32% on Indonesia. Analysts estimated full tariff regime could add $3-4B in annual import costs (~6-8pp gross margin impact). Nike stock fell ~14% in week after April 2 announcement.,-0.7,CEO Elliott Hill acknowledged significant uncertainty around trade policy; evaluating supplier diversification and selective pricing. 90-day tariff pause to 10% provided temporary relief.,,20.0,,,-0.087,,earnings_call,medium,claude_verified,1,$3-4B is analyst estimate not company-disclosed = medium confidence. 77% of shoes from Vietnam+Indonesia is massive exposure. Landed cost could rise $8-12/pair. Verify against Nike Q3 FY2025 call (Mar 20 2025) and post-April analyst reports.
red_sea_houthi_attacks_2023,HM-B.ST,H&M Hennes & Mauritz AB,25504010,procurement_supply_chain,2024Q1,CFO Adam Karlsson stated freight costs rising due to Houthi attacks forcing Cape of Good Hope rerouting adding ~10-14 days transit from Bangladesh China India to European distribution centers. Spot rates surged to $4000-5000/FEU from $1500. Some spring collection arrival delays.,-0.3,Long-term freight contracts and inventory buffers limited impact. Flagged freight as headwind to 2024 gross margin improvement but described impact as manageable.,,5.0,,,-0.006,,earnings_call,medium,claude_verified,1,Less severe than feared — H&M had inventory buffers. Full-year 2024 gross margin still improved to 53.3%. Verify against H&M Q1 2024 report (Mar 28 2024).
red_sea_houthi_attacks_2023,IKEA_RETAIL,Ingka Group (IKEA retail),25504010,procurement_supply_chain,2024Q1,Retail chief Tolga Oncu confirmed Red Sea disruptions causing significant impact on product availability Jan 2024. Shipments rerouted via Cape of Good Hope adding ~2 weeks. Some products faced delays and potential out-of-stocks in European stores.,-0.4,Absorbed increased freight costs rather than raising prices. Used inventory buffers to manage delays. CEO Jon Abrahamsson Ring described it as a short-term disruption.,,,,,,,press_release,medium,claude_verified,1,IKEA chose to absorb costs not pass through to consumers — margin hit but brand-positive decision. Separate from Russia exit (different event_id). Verify against Ingka Group Jan 2024 statements.
red_sea_houthi_attacks_2023,TTE.PA,TotalEnergies SE,10102010,financial_treasury,2024Q1,Qatar-to-Europe LNG cargoes rerouted via Cape of Good Hope adding ~10-12 days. LNG spot charter rates rose from $40-50K/day to peaks above $80-100K/day in Jan 2024. CEO Patrick Pouyanné noted rerouting tightened LNG shipping market. Q1 2024 Integrated LNG adjusted net income $1.5B.,0.1,Benefited from tighter LNG market as one of world's largest LNG traders (~50 Mt/y portfolio). Higher spot prices in Integrated LNG segment.,,,,,0.011,,earnings_call,medium,claude_verified,1,Another counterintuitive case like Maersk — disruption was financially positive for TotalEnergies. LNG trading profits up. Verify against TotalEnergies Q1 2024 results.
gdpr_eu_data_regulation,META,Meta Platforms Inc,50203010,regulatory_compliance_cost,2023Q2,Cumulative Ireland DPC GDPR fines ~EUR 2.5B through 2023 including EUR 1.2B for EU-US data transfers (May 2023). Over 40000 people working on safety/security costing ~$5B/year. G&A rose to $4.0B in Q1 2023 from $3.4B YoY driven partly by regulatory compliance.,-0.5,Built dedicated EU data centers for data residency; hired massive compliance/safety workforce; appealed major fines,,,,,0.057,,earnings_call,high,claude_verified,1,EUR 2.5B in fines is exact (sum of DPC decisions). $5B/yr compliance workforce from Zuckerberg Q4 2022 call. Blends content moderation + privacy. Verify against Meta 2022 10-K and Q1 2023 transcript.
us_tiktok_divestiture_2024,BDNCE,ByteDance/TikTok,50203010,regulatory_compliance_cost,2024Q1,TikTok spent over $1.5B on Project Texas routing all US user data through Oracle Cloud. Total cost grew to estimated $2B+ by late 2023. Hired ~2500 dedicated US data security employees. CEO Shou Zi Chew testified to Congress Mar 2023.,-0.6,Project Texas (Oracle data hosting); hired 2500 US Data Security staff; $100-200M/yr in lobbying and legal costs fighting forced-sale legislation,,,,,,,press_release,medium,claude_verified,1,$1.5-2B Project Texas is confirmed. Legal/lobbying costs are estimates. Forced divestiture act signed Apr 2024. Verify against congressional testimony and The Information reporting (Nov 2023).
russia_sanctions_2022,DB,Deutsche Bank AG,40101010,regulatory_compliance_cost,2022Q4,Non-interest expenses related to regulatory compliance rose ~EUR 400M YoY in 2022 partly driven by Russia sanctions implementation. CEO Christian Sewing: We added several hundred compliance FTEs specifically for sanctions-related work.,-0.4,Added hundreds of compliance FTEs; enhanced sanctions screening systems; wound down ~EUR 1.5B in Russian exposure,,,,,-0.125,,earnings_call,medium,claude_verified,1,EUR 400M incremental compliance cost is directional from annual report not a standalone line item. Verify against Deutsche Bank 2022 Annual Report.
russia_sanctions_2022,HSBA.L,HSBC Holdings plc,40101010,regulatory_compliance_cost,2022Q4,Financial crime compliance costs were $3.4B globally for 2022 (up from ~$3.0B in 2021). ~$400M increase attributed partly to Russia sanctions screening. Took $300M in restructuring charges winding down Russia commercial banking.,-0.4,Wound down Russia commercial banking operations; enhanced global sanctions screening infrastructure,,,,,-0.036,,earnings_call,medium,claude_verified,1,$3.4B total financial crime compliance is from 2022 annual results. Russia attribution is approximate. Verify against HSBC 2022 Annual Report.
us_entity_list_huawei_2019,HUAWEI,Huawei Technologies,45301020,regulatory_compliance_cost,2023FY,R&D spending surged from $15.3B (2018) to $23.8B (2023) — ~$8.5B/yr increase directed at replacing US-origin technology. Developed HarmonyOS (Android replacement) with 5000+ developers. HiSilicon shifted chip fabrication to SMIC after TSMC cutoff.,-0.7,Built alternative technology stack: HarmonyOS HiSilicon chips SMIC fabrication. Revenue fell from $123B (2019) to $92B (2022) before recovering to $99B (2023).,,,,,,,annual_report,medium,claude_verified,1,~$30B cumulative incremental R&D (2019-2023) blends forced compliance with strategic choice. Strongest regulatory_compliance case but also touches innovation_ip. Verify against Huawei Annual Reports 2018-2023.
us_china_arm_dispute_2020,ARM,Arm Holdings plc,45301020,innovation_ip,2022Q2,Arm China JV CEO Allen Wu refused removal in Jun 2020 retaining company chop and running JV independently for 2+ years. Arm China accounted for ~25% of Arm revenue (~$670M of $2.68B FY2023). JV developed unauthorized IP products (XPU) outside Arm control.,-0.5,Negotiated complex shareholder restructuring. Wu finally ousted Apr 2022. IPO prospectus (Aug 2023) listed China JV as material risk factor. Analysts estimated IPO valuation discounted $5-8B.,,,,,-0.18,,10k_filing,medium,claude_verified,1,Arm China = 25% of revenue at risk. IP leakage via unauthorized XPU development. Geopolitical driver = China semiconductor IP localization push. Verify against Arm S-1 (Aug 2023).
us_china_research_restrictions_2020,NIH_GRANTS,US Research Universities,71111010,innovation_ip,2021Q4,NIH investigated ~500 scientists for undisclosed foreign ties; >100 removed from NIH-funded positions. Total grants affected exceeded $185M. Presidential Proclamation 10043 (May 2020) denied >3000 student/researcher visas in first 2 years.,-0.4,MIT ended iFlyTek partnership (Apr 2020). MIT-China program active projects declined ~40% by 2021. Broad chilling effect on US-China academic collaboration.,,,,,,,government_data,medium,claude_verified,1,SECTOR_LEVEL: Use for Model 1 event severity training only. Exclude from Model 2/3 company-specific training. $185M in grants from NIH Office of Extramural Research (Jun 2021). 3000+ visas from State Dept data (Reuters Dec 2021). Not a single company — sector-wide. Verify against NIH data and Reuters reporting.
