event_id,company_ticker,company_name,sector_gics,impact_channel,quarter,mention_text,mention_sentiment,management_action_described,revenue_delta_pct,cogs_delta_pct,operating_income_delta_pct,capex_delta_pct,car_1_5,car_1_30,source,confidence,labeled_by,human_reviewed,notes
red_sea_houthi_2023,DE,,20,logistics_operations,,,0.1,,,,,,0.0278,-0.0157,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
red_sea_houthi_2023,GE,,20,logistics_operations,,,0.1,,,,,,0.0281,0.0303,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
red_sea_houthi_2023,MU,,45,logistics_operations,,"The rapid proliferation of AI, cloud computing, and big data are fueling demand for high-performance and high-capacity storage in data centers. In 2025, we qualified and began shipping our 9550 series,Our R&D efforts are focused primarily on development of memory and storage solutions, including our",0.1,,,,,,0.0624,0.0243,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.87
red_sea_houthi_2023,UPS,,20,logistics_operations,,"billion consolidated goodwill balance is represented by our Global Freight Forwarding (""GFF"") and HLD reporting units, respectively, which, based on our annual impairment evaluation, are exhibiting a ,Approximately $877 and $726 million of our $4.8 billion consolidated goodwill balance is represente",-0.3,,,,,,-0.0288,-0.0514,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.99
red_sea_houthi_2023,WMT,,30,logistics_operations,,"All memberships include a spouse/household card at no additional cost. Club members are eligible for free curbside pickup with orders of $50 or greater. Plus members receive free curbside pickup, free,All memberships include a spouse/household card at no additional cost. Club members are eligible fo",0.1,,,,,,0.0256,0.0545,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.89
israel_hamas_2023,FDX,,20,logistics_operations,,,-0.3,,,,,,-0.0584,-0.0417,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
israel_hamas_2023,RTX,,20,logistics_operations,,"We continue to closely monitor potential impacts to RTX’s business, customers, suppliers, employees, and operations in Israel, the Middle East, and the region at large due to renewed violence in Gaza,",0.1,,,,,,0.0499,0.1856,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.69
israel_hamas_2023,SWK,,20,logistics_operations,,,0.1,,,,,,0.0418,0.1367,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_tariffs_2025,AMGN,,35,procurement_supply_chain,,"of this Quarterly Report on Form 10-Q for further discussion. While existing tariffs have not had a material adverse effect on our results of operations for the nine months ended September 30, 2025, c,Executive orders issued by the Administration in July 2025 that raised or modified country-specific",-0.3,,,,,,-0.0478,-0.0717,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.75
us_tariffs_2025,BA,,20,procurement_supply_chain,,"tariffs, duties or penalties attributable to the importation of raw materials, parts, products and services, which could impact sales and/or delivery of products and services outside the U.S. and/or i,tariffs. We are mitigating import costs through Duty Drawback Customs procedures. Overall, the U.S.",-0.3,,,,,,-0.0459,0.085,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_tariffs_2025,BRK-B,,40,procurement_supply_chain,,"Changes in macroeconomic conditions and geopolitical events, including changes in international trade policies and tariffs, may negatively affect our operating results and the values of our investment,Changes in macroeconomic conditions and geopolitical events, including changes in international tra",-0.3,,,,,,-0.0303,-0.0139,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.70
us_tariffs_2025,CL,,30,procurement_supply_chain,,"Tariffs (or the threat thereof), inflationary pressures, economic and geopolitical uncertainty and high interest rates have negatively impacted and may continue to negatively impact consumer sentiment,Tariffs (or the threat thereof), inflationary pressures and high interest rates have negatively imp",-0.3,,,,,,-0.0355,-0.0251,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,CME,,40,procurement_supply_chain,,"changes in regulations, including the impact of any changes in laws or government policies with respect to our products or services or our industry, such as any changes to regulations and policies tha,changes in regulations, including the impact of any changes in laws or government policies with res",-0.3,,,,,,-0.032,0.0555,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.62
us_tariffs_2025,COP,,10,procurement_supply_chain,,,-0.3,,,,,,-0.1375,-0.1456,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.54
us_tariffs_2025,CSCO,,45,procurement_supply_chain,,"Challenging global economic conditions, including tariffs or other trade barriers, rising inflation, or other changes, have from time to time contributed, and may continue to contribute, to slowdowns ,Increased costs (including those caused by tariffs or economic conditions, including inflation), lo",-0.3,,,,,,-0.0534,-0.0536,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.58
us_tariffs_2025,CVX,,10,procurement_supply_chain,,,-0.3,,,,,,-0.1228,-0.1815,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.54
us_tariffs_2025,DE,,20,procurement_supply_chain,,"During 2025, new tariffs were imposed in the U.S. for imports from a broad range of countries and materials. Certain countries also implemented or proposed retaliatory tariffs on imports from the U.S.,Trade policies impact us in various ways. We are a net exporter of agriculture and turf equipment f",-0.3,,,,,,-0.0389,0.0194,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.88
us_tariffs_2025,DUK,,55,procurement_supply_chain,,"Industrial, commercial and residential decline in service territories or customer bases resulting from sustained downturns of the economy, storm damage, reduced customer usage due to cost pressures fr,Industrial, commercial and residential decline in service territories or customer bases resulting f",-0.3,,,,,,-0.0339,0.0078,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.63
us_tariffs_2025,GE,,20,procurement_supply_chain,,"changes in law, regulation or policy that may affect our businesses, such as trade policy and tariffs; government defense priorities or budgets; regulation, incentives and emissions offsetting or trad,As we operate in a highly dynamic tariff environment, we are focused on continuing to deliver our p",-0.3,,,,,,-0.0626,0.0192,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.88
us_tariffs_2025,HD,,25,procurement_supply_chain,,"We continue to monitor developments with respect to tariffs and other trade policy matters closely. We have worked, and continue to work, diligently to diversify our global supply chain. We believe ou,We are closely monitoring developments with respect to tariffs and other trade policy matters. Over",-0.3,,,,,,-0.0418,-0.0339,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.74
us_tariffs_2025,HON,,20,procurement_supply_chain,,"Prices of certain key raw materials are expected to fluctuate. We offset potential raw material cost increases with formula-driven or long-term supply agreements, price increases, and hedging activiti,Prices of certain key raw materials are expected to fluctuate. We offset potential raw material cos",-0.3,,,,,,-0.0782,-0.0243,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_tariffs_2025,JNJ,,35,procurement_supply_chain,,"Potential changes in export/import and trade laws, regulations and policies of the United States and other countries, including any increased trade restrictions or tariffs and potential drug reimporta,Potential changes in export/import and trade laws, regulations and policies of the United States an",-0.3,,,,,,-0.0283,-0.0058,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.91
us_tariffs_2025,LIN,,15,procurement_supply_chain,,,-0.3,,,,,,-0.0506,-0.0462,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.54
us_tariffs_2025,LOW,,25,procurement_supply_chain,,"During the year, the United States has enacted significant changes to its trade policy and imposed tariffs on imported goods from a number of countries.  The Company has been,",-0.3,,,,,,-0.0513,-0.0501,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.74
us_tariffs_2025,LRCX,,45,procurement_supply_chain,,"The increase in gross margin as a percentage of revenue in the September 2025 quarter compared to the June 2025 quarter was primarily a result of favorable changes in customer mix, partially offset by,in the September 2025 quarter compared to the June 2025 quarter driven by favorable changes in cust",-0.3,,,,,,-0.0362,-0.0278,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.78
us_tariffs_2025,NVDA,,45,procurement_supply_chain,,"Compliance with laws, rules, and regulations has not otherwise had a material effect upon our capital expenditures, results of operations, or competitive position and we do not currently anticipate ma,Compliance with laws, rules, and regulations has not otherwise had a material effect upon our capit",0.1,,,,,,0.0354,0.0108,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.51
us_tariffs_2025,PG,,30,procurement_supply_chain,,"We also have businesses and maintain local currency cash balances in a number of countries with currency exchange, import authorization, pricing or other controls or restrictions. Our results of opera,Our costs are subject to fluctuations, particularly due to changes in the prices of commodities (in",-0.3,,,,,,-0.0424,-0.0503,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.74
us_tariffs_2025,QCOM,,45,procurement_supply_chain,,"Further, political actions, including trade and/or national security protection policies (for example, tariffs and other controls on imports or exports), or other actions by governments, particularly ,Political actions, including trade protection and national security policies of the U.S. and Chines",-0.3,,,,,,-0.0681,-0.1225,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.58
us_tariffs_2025,RTX,,20,procurement_supply_chain,,"The global trade environment is highly dynamic. Since February 2025, the U.S. government has imposed tariffs on imports from all countries with which the U.S. engages in trade. In response, certain co,goods subject to U.S. imposed tariffs, as well as goods subject to counter tariffs imposed by other",-0.3,,,,,,-0.0354,-0.0431,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.85
us_tariffs_2025,SYK,,35,procurement_supply_chain,,"new tariffs on goods imported into the United States from dozens,reciprocal tariffs or taken other measures, and the United States,continue to monitor and evaluate the situation. Tariffs are,geopolitical environment, including tariffs or changes in trade,new tariffs on goods imported into the United",-0.3,,,,,,-0.0384,-0.0092,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.75
us_tariffs_2025,ZTS,,35,procurement_supply_chain,,"modification of foreign trade policy by the U.S. or other countries, including the imposition of increased tariffs on imported or exported goods;",-0.3,,,,,,-0.0609,-0.0448,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.75
eu_energy_crisis_peak,GE,,20,procurement_supply_chain,,"changes in macroeconomic and market conditions and market volatility, including risk of recession, inflation, supply chain constraints or disruptions, interest rates, the value of securities and other,changes in macroeconomic and market conditions and market volatility, including risk of recession, ",-0.3,,,,,,-0.0377,-0.144,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.72
eu_energy_crisis_peak,LIN,,15,procurement_supply_chain,,,-0.3,,,,,,-0.0258,-0.073,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.57
eu_energy_crisis_peak,SLB,,10,procurement_supply_chain,,"Despite pockets of activity adjustments in key markets, the industry has shown that it can operate through uncertainty without a significant drop in upstream spending. This has been driven by the comb,Although some customers have adopted a more cautious approach to their near-term capital expenditur",-0.3,,,,,,-0.0342,-0.1371,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.57
us_china_trade_war_start,COP,,10,procurement_supply_chain,,,0.1,,,,,,0.0337,0.0277,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.54
covid_lockdown_start,LMT,,20,logistics_operations,,,-0.3,,,,,,-0.0659,0.0126,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
covid_lockdown_start,TGT,,30,logistics_operations,,"Political or economic uncertainty or instability, trade policies, disputes, or sanctions, currency fluctuations, the outbreak of pandemics or other illnesses, labor shortages, labor unrest or strikes,,Political or financial instability, currency fluctuations, the outbreak of pandemics or other illne",-0.3,,,,,,-0.0261,-0.009,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.64
covid_lockdown_start,WM,,20,logistics_operations,,,-0.3,,,,,,-0.0683,-0.1305,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,DE,,20,logistics_operations,,,-0.3,,,,,,-0.0634,-0.1002,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,FDX,,20,logistics_operations,,,-0.3,,,,,,-0.0721,-0.1076,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,GE,,20,logistics_operations,,,-0.3,,,,,,-0.056,-0.1725,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,HON,,20,logistics_operations,,,-0.3,,,,,,-0.0341,-0.084,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,NOC,,20,logistics_operations,,,0.1,,,,,,0.0438,-0.0626,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,RTX,,20,logistics_operations,,,0.1,,,,,,0.0352,-0.0637,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
xinjiang_boycott_2021,LIN,,15,procurement_supply_chain,,,0.1,,,,,,0.0384,0.0702,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.54
suez_blockage_2021,BA,,20,logistics_operations,,,0.1,,,,,,0.0446,-0.0221,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,DE,,20,logistics_operations,,,0.1,,,,,,0.0485,0.0532,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,GD,,20,logistics_operations,,,0.1,,,,,,0.0413,0.0697,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,HON,,20,logistics_operations,,,0.1,,,,,,0.0455,0.105,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,LMT,,20,logistics_operations,,,0.1,,,,,,0.0479,0.0951,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,NOC,,20,logistics_operations,,,0.1,,,,,,0.0272,0.0999,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,RTX,,20,logistics_operations,,,0.1,,,,,,0.0351,0.0491,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,SWK,,20,logistics_operations,,,0.1,,,,,,0.0396,0.0704,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,WM,,20,logistics_operations,,,0.1,,,,,,0.0417,0.0923,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
notpetya_2017,CAT,,20,logistics_operations,,,0.1,,,,,,0.0343,0.1002,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
notpetya_2017,DE,,20,logistics_operations,,,0.1,,,,,,0.0346,0.0529,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
india_demonetization_2016,ADM,,30,revenue_market_access,,,-0.3,,,,,,-0.082,-0.0459,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,AMZN,,25,revenue_market_access,,,-0.3,,,,,,-0.0565,-0.022,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,BKNG,,25,revenue_market_access,,,-0.3,,,,,,-0.0511,-0.0324,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,CL,,30,revenue_market_access,,,-0.3,,,,,,-0.0698,-0.0791,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,COST,,30,revenue_market_access,,,0.1,,,,,,0.0346,0.0531,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,F,,25,revenue_market_access,,,0.1,,,,,,0.0488,0.1376,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,GM,,25,revenue_market_access,,,0.1,,,,,,0.0536,0.1564,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,KO,,30,revenue_market_access,,,-0.3,,,,,,-0.0336,-0.0289,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,LOW,,25,revenue_market_access,,,0.1,,,,,,0.0335,0.1435,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,MCD,,25,revenue_market_access,,,0.1,,,,,,0.0369,0.0591,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,MDLZ,,30,revenue_market_access,,,-0.3,,,,,,-0.0791,-0.0885,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,MO,,30,revenue_market_access,,,-0.3,,,,,,-0.0612,-0.0065,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,PEP,,30,revenue_market_access,,,-0.3,,,,,,-0.0632,-0.0474,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,PG,,30,revenue_market_access,,,-0.3,,,,,,-0.0439,-0.0375,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,TGT,,30,revenue_market_access,,,0.1,,,,,,0.0745,0.1577,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
india_demonetization_2016,TSLA,,25,revenue_market_access,,,-0.3,,,,,,-0.0573,-0.0092,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
iran_sanctions_2018,BLK,,40,financial_treasury,,,0.1,,,,,,0.0255,0.0672,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.68
iran_sanctions_2018,MS,,40,financial_treasury,,,0.1,,,,,,0.0275,-0.0275,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.68
iran_sanctions_2018,SCHW,,40,financial_treasury,,,0.1,,,,,,0.0283,0.0131,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.68
chile_lithium_nationalization,ABNB,,25,revenue_market_access,,,-0.3,,,,,,-0.0266,-0.0552,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
chile_lithium_nationalization,ADM,,30,revenue_market_access,,,-0.3,,,,,,-0.0369,-0.096,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
chile_lithium_nationalization,MDLZ,,30,revenue_market_access,,,0.1,,,,,,0.0393,0.0878,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
chile_lithium_nationalization,MO,,30,revenue_market_access,,,0.1,,,,,,0.0261,-0.02,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
chile_lithium_nationalization,PG,,30,revenue_market_access,,,0.1,,,,,,0.0373,0.0111,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
panama_mine_closure_2023,HD,,25,revenue_market_access,,,0.1,,,,,,0.0394,0.1198,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
panama_mine_closure_2023,LOW,,25,revenue_market_access,,,0.1,,,,,,0.0293,0.1142,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
panama_mine_closure_2023,PG,,30,revenue_market_access,,,-0.3,,,,,,-0.0363,-0.0409,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
panama_mine_closure_2023,TSLA,,25,revenue_market_access,,,-0.3,,,,,,-0.0324,0.0597,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.67
covid_lockdown_start,HII,,20,logistics_operations,,,-0.3,,,,,,-0.1291,-0.0563,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
india_pakistan_sindoor,HII,,20,logistics_operations,,,-0.3,,,,,,-0.0308,0.025,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
israel_hamas_2023,HII,,20,logistics_operations,,,0.1,,,,,,0.1118,0.1829,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
notpetya_2017,HII,,20,logistics_operations,,"C5ISR; cyber, electronic warfare & space; live, virtual, and constructive training solutions,C5ISR; cyber, electronic warfare & space; live, virtual, and constructive training solutions,C5ISR; cyber, electronic warfare & space; live, virtual, and constructive training solutions,C5ISR; cyber, electro",0.1,,,,,,0.0321,0.1486,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.77
russia_invasion_2022,HII,,20,logistics_operations,,"disruptions impacting global supply, including those resulting from the ongoing conflict between Russia and Ukraine and in the Middle East;,disruptions impacting global supply, including those resulting from the ongoing conflict between Russia and Ukraine and in the Middle East;",0.1,,,,,,0.099,0.083,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,HII,,20,logistics_operations,,,0.1,,,,,,0.0741,0.1117,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,HII,,20,logistics_operations,,,-0.3,,,,,,-0.0336,-0.1045,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
covid_lockdown_start,LHX,,20,logistics_operations,,"If we successfully retire risks associated with the technical, schedule and cost aspects of a contract, we may lower our estimated total cost at completion commensurate with the retirement of these ri,On October 1, 2025, after Congress failed to reach an agreement on a short-term spending deal or fu",-0.3,,,,,,-0.1041,0.0102,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
israel_hamas_2023,LHX,,20,logistics_operations,,"Ongoing instability and current conflicts in global markets, including in the Ukraine and Eastern Europe, Israel, the Gaza Strip and the Middle East and Asia, and the potential for other conflicts and",0.1,,,,,,0.0922,0.1448,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
russia_invasion_2022,LHX,,20,logistics_operations,,"current conflicts in global markets, including in the Ukraine and Eastern Europe, the Middle East and Asia, and the",0.1,,,,,,0.1182,0.1465,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,LHX,,20,logistics_operations,,,0.1,,,,,,0.0353,0.1098,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
covid_lockdown_start,TDG,,20,logistics_operations,,"The key market factors in the commercial aftermarket include RPKs and the size and activity level of the worldwide fleet of aircraft and the percentage of the fleet that is in warranty. In fiscal 2024,The key market factors in the commercial aftermarket include RPKs and the size and activity level o",-0.3,,,,,,-0.4682,-0.32,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
covid_lockdown_start,HWM,,20,logistics_operations,,,-0.3,,,,,,-0.2908,-0.3512,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
israel_hamas_2023,HWM,,20,logistics_operations,,,-0.3,,,,,,-0.0296,0.1213,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
notpetya_2017,HWM,,20,logistics_operations,,,0.1,,,,,,0.0527,0.1314,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,HWM,,20,logistics_operations,,,0.1,,,,,,0.0458,0.0652,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,HWM,,20,logistics_operations,,,-0.3,,,,,,-0.032,-0.0171,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_tariffs_2025,HWM,,20,procurement_supply_chain,,"Recent, ongoing changes in U.S. and international government policies, including executive orders on tariffs and retaliatory trade measures, are expected to impact the pricing of our products, disrupt,Recent, ongoing changes in U.S. and international government policies, including executive orders o",-0.3,,,,,,-0.0434,0.2053,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
covid_lockdown_start,TXT,,20,logistics_operations,,"The risk of disruptions to our business and the business of our suppliers, customers and other business partners due to unexpected events, such as pandemics, natural disasters, acts of war, strikes, t,The risk of disruptions to our business and the business of our suppliers, customers and other busi",-0.3,,,,,,-0.1466,-0.0794,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.69
india_pakistan_sindoor,TXT,,20,logistics_operations,,"We primarily lease certain manufacturing plants, offices, warehouses, training and service centers at various locations worldwide that are classified as either operating or finance leases. Our leases ,We primarily lease certain manufacturing plants, offices, warehouses, training and service centers ",0.1,,,,,,0.0744,0.1,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
israel_hamas_2023,TXT,,20,logistics_operations,,,0.1,,,,,,0.0308,0.014,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
notpetya_2017,TXT,,20,logistics_operations,,,0.1,,,,,,0.034,0.0577,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
russia_invasion_2022,TXT,,20,logistics_operations,,,0.1,,,,,,0.041,0.006,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
suez_blockage_2021,TXT,,20,logistics_operations,,,0.1,,,,,,0.0596,0.2591,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_iran_war_2026,TXT,,20,logistics_operations,,,-0.3,,,,,,-0.0457,-0.0606,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_tariffs_2025,TXT,,20,procurement_supply_chain,,"Changes to the United States trade policy have resulted in new or higher tariffs on goods imported from numerous countries, and some countries have imposed retaliatory tariffs on imports from the Unit,Recent changes to the United States trade policy have resulted in new or higher tariffs on goods im",-0.3,,,,,,-0.0786,0.0486,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2022,LDOS,,45,innovation_ip,,,-0.3,,,,,,-0.03,0.1624,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
