company,ticker,sector,revenue_B,scenario,event_category,channel,severity,impact_mid_pct,impact_mid_usd_M,geo_exposure
Microsoft,MSFT,Information Technology,245,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.318,0.14,342,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.375,0.09,215,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.376,0.15,368,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.376,0.15,368,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Amazon,AMZN,Consumer Discretionary,620,Red Sea shipping disruption,armed_conflict_instability,logistics_operations,-0.327,0.1,612,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.332,0.09,554,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Russia-Ukraine escalation,armed_conflict_instability,logistics_operations,-0.327,0.1,612,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.377,0.1,608,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Taiwan Strait tensions,armed_conflict_instability,logistics_operations,-0.327,0.1,612,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Iran nuclear crisis,armed_conflict_instability,logistics_operations,-0.327,0.1,612,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Major cyberattack,armed_conflict_instability,logistics_operations,-0.327,0.1,612,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.322,0.08,471,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.377,0.1,608,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
Amazon,AMZN,Consumer Discretionary,620,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.377,0.1,608,"Global logistics network, AWS in 30+ regions, China marketplace presence, last-mile delivery in 20+ countries"
NVIDIA,NVDA,Information Technology,130,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.308,0.17,220,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.332,0.07,90,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.308,0.17,220,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,101,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.308,0.17,220,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.308,0.17,220,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.308,0.17,220,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.377,0.07,93,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,101,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
NVIDIA,NVDA,Information Technology,130,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,101,"China was 25% of revenue before export controls, TSMC dependency for manufacturing, data center buildout globally"
Alphabet/Google,GOOGL,Communication Services,350,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.318,0.17,583,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.378,0.04,151,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.318,0.17,583,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.321,0.18,623,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.318,0.17,583,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.318,0.17,583,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.318,0.17,583,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.375,0.05,161,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.321,0.18,623,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Alphabet/Google,GOOGL,Communication Services,350,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.321,0.18,623,"Ad revenue from 200+ countries, data centers globally, regulatory exposure in EU/India/Australia"
Meta/Facebook,META,Information Technology,165,Red Sea shipping disruption,armed_conflict_instability,logistics_operations,-0.36,0.14,226,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.407,0.07,109,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Russia-Ukraine escalation,armed_conflict_instability,logistics_operations,-0.36,0.14,226,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.405,0.15,248,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Taiwan Strait tensions,armed_conflict_instability,logistics_operations,-0.36,0.14,226,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Iran nuclear crisis,armed_conflict_instability,logistics_operations,-0.36,0.14,226,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Major cyberattack,armed_conflict_instability,logistics_operations,-0.36,0.14,226,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.404,0.07,117,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.405,0.15,248,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Meta/Facebook,META,Information Technology,165,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.405,0.15,248,"3B users globally, banned in China/Russia, GDPR compliance costs, content moderation in conflict zones"
Tesla,TSLA,Consumer Discretionary,97,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.318,0.75,732,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.329,-0.05,-48,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.318,0.75,732,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.376,0.07,67,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.318,0.75,732,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.318,0.75,732,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.318,0.75,732,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.297,0.09,91,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.376,0.07,67,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Tesla,TSLA,Consumer Discretionary,97,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.376,0.07,67,"Shanghai Gigafactory (50%+ of production), Berlin factory, China sales ~25% of revenue, battery supply chain in DRC/Chile/Australia"
Berkshire Hathaway,BRK-B,Financials,364,Red Sea shipping disruption,armed_conflict_instability,logistics_operations,-0.324,0.08,287,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.329,0.09,319,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Russia-Ukraine escalation,armed_conflict_instability,logistics_operations,-0.324,0.08,287,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.376,0.14,497,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Taiwan Strait tensions,armed_conflict_instability,logistics_operations,-0.324,0.08,287,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Iran nuclear crisis,armed_conflict_instability,logistics_operations,-0.324,0.08,287,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Major cyberattack,armed_conflict_instability,logistics_operations,-0.324,0.08,287,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.375,0.06,232,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.376,0.14,497,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
Berkshire Hathaway,BRK-B,Financials,364,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.376,0.14,497,"Diversified across insurance, rail, energy, manufacturing; limited direct international operations"
JPMorgan Chase,JPM,Financials,177,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.323,0.13,232,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.378,0.06,110,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.323,0.13,232,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.377,0.15,266,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.323,0.13,232,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.323,0.13,232,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.323,0.13,232,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.376,0.07,121,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.377,0.15,266,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
JPMorgan Chase,JPM,Financials,177,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.377,0.15,266,"Global investment bank, correspondent banking in 100+ countries, sanctions compliance, emerging market lending"
Visa,V,Financials,36,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.32,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.379,0.06,23,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.32,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.32,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.32,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.32,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.377,0.07,25,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
Visa,V,Financials,36,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.379,0.08,29,"Payment network in 200+ countries, exited Russia 2022, currency conversion exposure, financial sanctions compliance"
UnitedHealth,UNH,Health Care,400,Red Sea shipping disruption,armed_conflict_instability,workforce_talent,-0.35,0.1,403,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.411,0.08,303,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Russia-Ukraine escalation,armed_conflict_instability,workforce_talent,-0.35,0.1,403,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.404,0.12,486,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Taiwan Strait tensions,armed_conflict_instability,workforce_talent,-0.35,0.1,403,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Iran nuclear crisis,armed_conflict_instability,workforce_talent,-0.35,0.1,403,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Major cyberattack,armed_conflict_instability,workforce_talent,-0.35,0.1,403,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.323,0.09,359,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.404,0.12,486,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
UnitedHealth,UNH,Health Care,400,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.404,0.12,486,"Primarily US operations, Optum global services, pharmaceutical supply chain from India/China"
Johnson & Johnson,JNJ,Health Care,85,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.326,0.12,99,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.309,0.09,76,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.326,0.12,99,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.294,0.1,84,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.326,0.12,99,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.326,0.12,99,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.326,0.12,99,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,EU regulatory crackdown,regulatory_sovereignty_shifts,workforce_talent,-0.3,0.1,83,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.294,0.1,84,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Johnson & Johnson,JNJ,Health Care,85,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.294,0.1,84,"Global pharmaceutical and medical device sales, API sourcing from India/China, manufacturing in 60+ countries"
Exxon Mobil,XOM,Energy,344,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.333,0.13,452,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.304,0.07,248,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.333,0.13,452,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.329,0.15,519,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.333,0.13,452,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.333,0.13,452,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.333,0.13,452,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.29,0.04,144,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.329,0.15,519,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Exxon Mobil,XOM,Energy,344,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.329,0.15,519,"Oil production in 40+ countries, Guyana deepwater, Middle East JVs, LNG in Qatar/Australia, refining globally"
Chevron,CVX,Energy,196,Red Sea shipping disruption,armed_conflict_instability,logistics_operations,-0.333,0.1,196,"Major operations in Kazakhstan, Australia LNG, Gulf of Mexico, Venezuela (sanctions exemption), shipping through Hormuz/Red Sea"
Chevron,CVX,Energy,196,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.378,0.06,108,"Major operations in Kazakhstan, Australia LNG, Gulf of Mexico, Venezuela (sanctions exemption), shipping through Hormuz/Red Sea"
Chevron,CVX,Energy,196,Russia-Ukraine escalation,armed_conflict_instability,logistics_operations,-0.333,0.1,196,"Major operations in Kazakhstan, Australia LNG, Gulf of Mexico, Venezuela (sanctions exemption), shipping through Hormuz/Red Sea"
Chevron,CVX,Energy,196,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.334,0.14,269,"Major operations in Kazakhstan, Australia LNG, Gulf of Mexico, Venezuela (sanctions exemption), shipping through Hormuz/Red Sea"
Chevron,CVX,Energy,196,Taiwan Strait tensions,armed_conflict_instability,logistics_operations,-0.333,0.1,196,"Major operations in Kazakhstan, Australia LNG, Gulf of Mexico, Venezuela (sanctions exemption), shipping through Hormuz/Red Sea"
