input,output,Instruction
"Bitcoin dropped back below the closely watched $30,000 level amid a wider retreat in cryptocurrencies, as stubbornly high UK inflation fanned fears of higher-for-longer interest rates.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (CRYPTO: BTC) dipped below $30,000 Wednesday as the wider crypto market experienced a downturn alongside traditional markets.

Stocks associated with cryptocurrency and blockchain also experienced significant losses.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Blockchain analytical firm Santiment said Bitcoin price volatility is at its lowest since the second week of January.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin network fundamentals are set for new all-time highs this week, with BTC price stagnant.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin sees downside volatility as BTC price falls $1,000 in minutes.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price found support near $29,200 and recovered losses. BTC must clear the $30,500 resistance to continue higher in the near term.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin is trading above the $30,000 level, but margin and futures markets show traders reacting to regulators' persistent enforcement actions against the crypto sector.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Over the last few days, the price of Bitcoin has lost its hold on the $30,000 level and was dragged back down to the $29,000 level. Naturally, this has had",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin and liquid staking DeFi pools have seen significant gains in market capitalization through the first quarter of 2023.,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Data from Glassnode shows an additional 32.3% of the Bitcoin supply has entered into a state of profit with the rally in 2023 so far.,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin faces a new support battle as BTC price suddenly returns above $30,000.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin mining stocks ended down on Monday as BTC returned to the sub $30,000 level again. Find out why did bitcoin price decline today.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) is closely following its early 2019 surge and prices could peak at around $45,000 next month, according to Vetle Lunde, a senior analyst at K33 Research. Lunde joins ""First Mover"" to discuss the parallels between BTC's early surge in 2019 and the token's recent rally. Plus, insights on ether's strong performance after the Shanghai upgrade.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin risks a heavier correction as BTC price sweeps weekly lows.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) continued to trade in a narrow range over the weekend, around $30,000, after a week of volatility.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"A closely followed analyst who nailed this year’s crypto rally says he sees a scenario where Bitcoin (BTC) erupts and rallies close to its all-time high of around $69,000.\nPseudonymous analyst DonAlt tells his 476,800 Twitter followers that Bitcoin",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"A closely followed analyst who nailed this year’s crypto rally says he sees a scenario where Bitcoin (BTC) erupts and rallies close to its all-time high of around $69,000. Pseudonymous analyst DonAlt tells his 476,800 Twitter followers that Bitcoin bulls have one more resistance level to take...",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"The SkyBridge Capital CEO won’t call himself a Bitcoin maxi, but he’s more confident in the coin than he’s ever been.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
The long-to-Short indicator shows pro-Bitcoin traders keeping leverage positions unchanged.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"We look at of the top Bitcoin companies working on the needs of Salvadorians, the public opinion of Bitcoin in El Salvador, politics and regulation",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Macro Markets Ep # 8 on Cointelegraph Markets & Research: Marcel Pechman explains how a potential looming recession might be causing Bitcoin’s price to rise. ,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Post the successful implementation of the Shanghai upgrade, Ethereum (ETH) has delivered a strong move. The ETH price has surged past $2,100 levels gaining more than 10% over the last 24 hours. Ethereum has been posing strong competition to Bitcoin (BTC) which has grabbed all the limelight so far in 2023. By gaining more than […]",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin's recent surge in price has been widely attributed to a variety of factors, such as the banking crisis, the dollar's fall in dominance, and...",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin continues to print classic halving cycle BTC price performance following its latest bear market bottom.,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin dipped but held above US$30,000 in Thursday morning trading in Asia that saw mixed performances among the top 10 non-stablecoin cryptocurrencies.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"In a surprise move that has sent shockwaves throughout the financial world, Berkshire Hathaway has announced a massive $4.20 billion investment in Bitcoin. The investment signals a major shift in strategy for the company under new leadership, with former Chairman Greg Abel taking the reins from Warren Buffett and",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin benefits from a ""great inflation print"" for bulls with BTC price approaching new ten-month highs.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin is up 80% since the start of the year. History shows the cryptocurrency tends to do well in the run-up to its so-called ""halving.""",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin risks getting caught in a ""market-wide repricing"" event as CPI data hits, endangering $30,000 BTC price.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin has broken above the $30,000 mark as on-chain data shows whales have been making some large outflows during the past day.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"In an interview with Cointelegraph, Michael Saylor said that a Bitcoin investment should be judged from a 4-year price cycle rather than based on one bear or bull market.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin climbed above $30,000 for the first time since June, bolstered by bets on easier monetary policies that have made cryptocurrencies standout performers this year.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin has hit $30,000, a price not seen since June 2022, and the highest price so far in 2023.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"The crypto market got the week off to a positive start after an afternoon spike in Bitcoin lifted the top crypto to $29,291, its highest price since June 11.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) has surged 70% this year, hitting nine-month highs of over $29,000. While the sharp rally has brought the derivatives market back to life, the overall use of leverage remains muted, suggesting a low risk of ""liquidations-induced"" wild price swings. George Kaloudis presents ""The Chart of the Day.""",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin is managing to break its consolidation level and trying to surpass its nearest resistance to breach the long-awaited $30,000 level.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin miners are posting the largest percentage stock gains on Monday.,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"More than one out of two Bitcoin has been left untouched in the last two years, according to the crypto analytics platform Glassnode. ",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin accumulation and holding are continuing, and a reluctance to sell means that more of the asset is becoming dormant. According to data from on-chain analytics provider Glassnode, more than half of the Bitcoin supply is inactive. By inactive, it means that the coins have not moved for the past two years. Furthermore, The percentage […]",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin meets CPI, Ethereum Shanghai upgrade and more in a key BTC price week.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"In the last 30 days, Google searches for Donald Trump exceeded Bitcoin for just two days — on April 4 and 5 — amid the former president’s indictment.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin analyst Plan B has recently predicted that the price of Bitcoin will reach a staggering $532,000 by the year 2025.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"The long weekend has not produced any fireworks in Bitcoin (BTC) price, which continues to trade inside an ever-narrowing range. Bitcoin is on track to form a third consecutive Doji candlestick pat…",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"ADA, XLM, AAVE and CFX could rally if Bitcoin overcomes its overhead resistance at $29,200.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) could rally toward $50,000 in 2023, according to a historical price fractal highlighted by popular market analyst Mags.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Mike McGlone, a senior commodity strategist at Bloomberg Intelligence, evaluated Bitcoin on Twitter.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Binance Australia Derivatives' license revoked, Bitcoin white paper hidden on modern macOS, Dogecoin prices spike after Twitter's icon change.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"ozgurdonmaz/iStock Unreleased via Getty Images Hong Kong’s new digital asset framework coincides with U.S. crypto crackdown. Could Bitcoin’s rise be driven by state-sponsored buyers & global interest amid deglobalization? Please note that VanEck may have a position(s) in the digital asset(s) described below. “There is no subtler, no surer means of overturning the existing basis […]",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"But the fact that the coins advance has stalled out is no surprise to Aya Kantorovich, former head of institutional coverage at FalconX.Bitcoin faithfuls drove the upward price action in March, but fundamentally, little has changed in the world of digital assets.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin's price might have held near $28,000 but the absence of shorts using margin and futures markers is a bullish indicator.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Software company MicroStrategy is receiving attention from major players in the financial world due to its Bitcoin bet.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin price in 2023 mirrors a 2015 fractal that saw its price rising from $350 to $700 in seven months.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin faces strong resistance below $30k amidst macro headwinds,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin traders eye $25,000 and $30,000 as key BTC price targets next.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
The Vice President of the Swiss National Bank (SNB) Martin Schlegel has caused a stir in the Bitcoin community. Here's why.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"SkyBridge founder Anthony Scaramucci has called the end of the bear market for crypto, as Bitcoin gains reach 70% for 2023 despite fears of Choke-Point 2.0, the collapse of crypto-friendly banks, and Coinbase and Binance facing regulatory scrutiny in the United States.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Arthur Hayes just released this idea for a BTC stablecoin.

The full article is here (https://blog.bitmex.com/dust-on-crust/) but the gist is as follows:
﻿[Image]﻿
The idea of a Bitcoin based stablecoin is a good one.

The main idea being that people i...",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Senior macro strategist at Bloomberg Intelligence believes that the Bitcoin network has never been more secure than it is now. McGlone predicts that the cryptocurrency will eventually trade more like gold or a Treasury bond in the long run. Senior macro s,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin may fail to hold its recent BTC price gains, warns Bloomberg Intelligence.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin fails to tackle $30,000 liquidity as BTC price returns to “compressed” range.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"The Salvadoran president has appointed two U.S. crypto investors to lead the country’s National Bitcoin Office, as the IMF issues more warnings about the country’s so-called volcano bonds",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin briefly broke above its key resistance level of $28,700, but quickly retracted and returned to trading within its range",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Litecoin News: Amid Bitcoin’s (BTC) six month high price and speculation for a potential altcoin rally, the crypto market is",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Strange things keep happening at centralized crypto exchanges, but they don't appear to have a negative impact on Bitcoin price.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"In an initial reaction, the Bitcoin and crypto markets reacted positively to the new inflation data. Core PCE came in cooler than expected.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin’s surprising fast exit from its “crypto winter” has once again put the notoriously volatile digital currency atop the leader-board in the first quarter for being the best-performing asset class by a wide margin.,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"From the ashes of Lehman Brothers to this year’s bank failures, Bitcoin has proven itself as a necessary part of the global financial system, writes Mike Belshe, CEO of BitGo.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price spiked higher above the $29,000 level. BTC corrected lower and is currently consolidating above the $28,000 pivot level.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Join us as we discuss the significance of Bitcoin reaching $29,000 and why it seems to be unaffected by all the regulatory pressure and collapsing banks.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price is consistently chasing after $29,000, giving bulls the advantage in this week's massive options ex",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin mining stocks struggled to keep pace with BTC’s spot price action, but brighter days could be coming.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin’s week got off to a rocky start, but investors are beginning to see a light at the end of the tunnel. ",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin is eyeing a break with the bear market as BTC price action approaches a key monthly close.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"While most major cryptocurrencies are witnessing a pullback, Bitcoin, XRP, LTC, XMR and AVAX are trying to buck the trend. ",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"A widely followed crypto analyst is issuing a warning to altcoin investors, saying that regulatory uncertainty means that Bitcoin (BTC) will likely dominate other digital assets. In a new video update, crypto analyst Benjamin Cowen tells his 785,000 YouTube subscribers the king crypto will beat...",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin/USDT paritesi haber saati itibariyle son 24 saatte %0,46 değişimle 27.718,00 dolardan işlem görüyor. Bitcoin/TL ise 526.642,00 ₺.Ethereum/USDT",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price corrected throughout the week, but data suggests that a rally to $30,000 remains in the cards.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin and major altcoins may witness a pullback in the near term, which may bring key support levels into play. ",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Former Coinbase chief technology officer Balaji Srinivasan is predicting that the US government will cut off access to Bitcoin (BTC) in response to the “banking crisis.” In a new interview on the Bankless podcast, Srinivasan predicts that a lot of US fiat banks “will go to zero” and the US...",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"BTC price dropped as the Fed rolled out a 0.25% rate hike, but improving housing market data and Bitcoin options data suggests that bulls are ready for this week’s expiry.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price took a step back as the Fed hiked interest rates and the SEC cracked down on Coinbase and Tron, but bulls are still favored in this week’s BTC options expiry.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"When asked if the US dollar can still be considered a store of value, the Tether CTO said that it varies from place to place, saying that Bitcoin is still the best option. ",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
ARK CEO Cathie Wood believes future banking crises will “attract more institutions” into Bitcoin as firms look to hedge against failures stemming from the traditional financial system. ,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price is trading at more than $28,000 per coin and is up nearly 78% year-to-date in 2023. This could only be a mere glimpse of...",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price is trading at more than $28,000 per coin and is up nearly 78% year-to-date in 2023. This could only be a mere glimpse of what's to come, which",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin News,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Data shows the Bitcoin average transaction count has risen to the highest level since April 2021, indicating that the asset's price could be bullish.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin climbed to a nine-month high on Monday as turmoil in the banking sector drives some investors to turn to digital assets, as the cryptocurrency built on its best week in four years.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Sam Bankman-Fried seeks to use FTX's legal insurance, Bitcoin outperforming Wall Street banks in 2023 and USDC repegs after turbulent days.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin News,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) and Ethereum (ETH) are two of the most well-known cryptocurrencies, and their prices and market capitalization have seen significant growth in recent years.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin News,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin price could revisit $19.5k based on a bearish technical pattern formation. ,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Get the latest Wrapped Bitcoin price, WBTC market cap, trading pairs, charts and data today from the world’s number one cryptocurrency price-tracking website",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin/USDT paritesi haber saati itibariyle son 24 saatte %1,83 değişimle 24.802,00 dolardan işlem görüyor. Bitcoin/TL ise 446.436,00 ₺.Ethereum/USDT",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin jumped as much as 9.6% to $26,533, its highest since June 2022, in its fourth straight days of gains",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"The inverse Cramer tactics again proved effective as Bitcoin rallies and the altcoins catch up. Charles Hoskinson, Changpeng Zhao, and David Gokhshtein weigh in on the banking crises, sarcastically putting the blame on the Mad Money TV host.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin soared to $26,500 shortly after the CPI report was released, surging more than 15% to hit a multi-month high.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin broke through the key level of $25,200 after the latest consumer price index reading came in as expected.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Upcoming statements from the Federal Reserve and continued fallout from Silvergate Bank have crypto traders anticipating an uptick in Bitcoin’s volatility this week.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"De acordo com o último relatório, a adoção do Bitcoin entre os comerciantes deve aumentar em 50% nos próximos três anos. Este resultado é de um enquete conduzido pelo Ripple and Faster Payment Council, que envolveu 300 líderes de pagamento em 45 países. Um crescente interesse em pagamentos Bitcoin globalmente O relatório indicou que a",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Although many altcoins have followed Bitcoin lower, EOS, STX, IMX and MKR remain bullish.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin took a beating yesterday as crypto bank Silvergate's survival warning led to a stampede of customers away from one of the industry's biggest fiat on and off-ramps. ,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin plunged to $22,277 and Ether hit $1,563 as crypto took a tumble during the opening hours of East Asia's trading day.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Join us as we discuss what March 2023 holds in store for Bitcoin. Will it touch $25,000 again or will it break past and flip it to support?",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin/USDT paritesi haber saati itibariyle son 24 saatte %-0,86 değişimle 23.579,00 dolardan işlem görüyor. Bitcoin/TL ise 424.422,00 ₺.Ethereum/USDT",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
China still hosts 21% of the total global Bitcoin hash rate after the local government banned all crypto operations in the country last year.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin/USDT paritesi haber saati itibariyle son 24 saatte %-0,34 değişimle 23.415,00 dolardan işlem görüyor. Bitcoin/TL ise 421.470,00 ₺.Ethereum/USDT",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"The $25,000 level is proving to be a stiff resistance for Bitcoin, but derivatives data suggests pro traders are still bullish on BTC price.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin heads into the February monthly close with BTC price action skirting key levels.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"If Bitcoin price does not collapse below $21,000, LDO, EGLD, THETA, and KLAY could continue their rally toward new 2023 highs.",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin/USDT paritesi haber saati itibariyle son 24 saatte %0,32 değişimle 23.214,00 dolardan işlem görüyor. Bitcoin/TL ise 417.852,00 ₺.Ethereum/USDT",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin drifts lower after a comedown for U.S. stocks, and BTC price action targets support nearer $22,000.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin, BNB, EOS, QNT and CHZ are flashing bullish technical analysis setups which could lure buyers if the wider market enters a relief rally this week.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
A comparison between the 2023 BTC rally and 2019 bull market rally suggests that Bitcoin price has reached a crucial turning point.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"BTC price hitting $10 million is ""conservative,"" a new prediction says, with Bitcoin in line to swallow a quarter of the world's wealth.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"In wave theory, market trends unfold in five waves, three of which represent the primary trend and the other constitute partial retracements. Bitcoin's year-to-date rally seems to be a retracement ahead of the final leg lower, the crypto trading firm said.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Entertainment Hollywood News Bitcoin’s relative stability is reflective of mainstream disinterest in the crypto market, one observer said. #Bitcoin #Volatility #Holds #Steady #VIX #MOVE #Spike",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin faces a struggle to overcome BTC price resistance despite central banks injecting $1 trillion combined.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Data shows the Bitcoin spot trading volumes have hit a new yearly high in the past week as the price of the cryptocurrency has taken a volatile turn.,Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"After Bitcoin failed to break $25,200 over the past week, the price is currently on a downward slide. These price levels are crucial today.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin heads to five-day lows, with BTC price bid liquidity thinning above $23,000.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Concerns about further interest-rate hikes, a fizzling stock rally and a US crypto crackdown all suggest Bitcoin and other tokens should be beating a hasty retreat. Instead, they’re extending their 2023 rebound.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Alex Gladstein, CSO della Human Rights Foundation, ritiene che Bitcoin possa aiutare la democrazia e la lotta alla corruzione statale limitando il potere del governo e delle istituzioni.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin sees rejection at $25,000 as BTC price action strikes volatility into the start of Wall Street trading.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"According to data from Glassnode, Bitcoin whales, which reached a significant peak in 2021, have plummeted to lows last seen in 2019.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin and altcoins could continue to the upside even as equities markets hint at a pullback. ,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin faces tough resistance as BTC price headwinds line up for the week.,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin, the world’s largest cryptocurrency, has been making headlines lately for its incredible price surge, which has seen it gain more than 40% in value since the beginning of this year. However, according to data from blockchain analytics firm Glassnode, there is a new development that is raising some eyebrows in the cryptocurrency community. Glassnode’s […]",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin (BTC) stayed lower at the Feb. 9 Wall Street open as a sweep of local lows increased bets of a more serious comedown.,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
A near 50% price pump to start 2023 has pushed the Bitcoin (BTC) market cap past that of payment processing giant Visa. This is the third time BTC has “flippened” the payment giant. ,Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin could extend its up-move above $25,250, possibly generating buying interest in FIL, OKB, VET and RPL.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Crypto fugitive Do Kwon and the firm he founded transferred over 10,000 Bitcoin out of their doomed project and turned some of the tokens into cash via a Swiss bank, the Securities & Exchange Commission said.",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Image Source: YouTube / ABC American billionaire entrepreneur Mark Cuban continues to remain bullish on Bitcoin, saying that he even prefers investing in the digital asset over gold. The TV personality stated that he plans to buy more BTC when its price drops. “I want Bitcoin to go down a lot further so I can […]",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin, the world's most valuable and well-known cryptocurrency, has once again seen a significant spike in price, surpassing the $24,000 mark for the first time in its history. This recent surge in Bitcoin's value has caught the attention of investors and traders worldwide, and many are now...",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC) is leaving merchants guessing as the way forward for the bull market relies on the final week of February.In a number of tweets on Feb. 17, widespread dealer and analyst Rekt Capital flagged essential resistance battles ongoing on BTC/USD throughout a number of timeframes.Bitcoin value squares off with bear market downtrendBitcoin hit new",Extreme Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin is trying to beat out resistance on multiple timeframes, but BTC price moves by whales are no friend of bulls.",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin price is consolidating after finding strong resistance at the $25,000 level. This year, the primary cryptocurrency's price resurgence has been the",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Dogecoin (DOGE) like the remainder of the crypto market has slowed down within the final day. This comes after an enormous leg-up that noticed the likes of Bitcoin and Ethereum break via four-month highs earlier than correcting downwards. Nevertheless, for Dogecoin, it seems to be just like the get together might not be over. Dogecoin",Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
